tweet,Axial code by 1st coder,Axial code revisited by 1st coder,Axial Code by 2nd Coder,Reliability,Final code
 Hi Suraj We will not be making any revenue on this COVID-19 insurance product We gave up our distribution fees so that the insurance company can make the policy premium for all users even cheaper ,QUERY ANSWER,QUERY ANSWER,Query Reply,1,QUERY ANSWER
 PhonePe_ COVID19 Covid_19 Corona Paytm GooglePay Do n t use cash transactions Stop spread the coronavirus Use digital payment wallet Google pay Phonepe Paytm code ,CONVENIENCE,CONVENIENCE,Request,0,REQUEST
 Aap se request hai pls donate ta ke hum baccho ka maadat karte raye seke Covid19 ke chalte hame bilkul donation naie mil raha hai Narayan Narayani Foundation Kotak Mahindra Bank CC AC number IFSC code KKBK0006578 Branch Paytm Phonepe Googlepay,DONATION,REQUEST,Help Covid-19,0,REQUEST
 Airtel Payments Bank now offers Bharti AXA Covid-19 product to its customers following on from PhonePe x Bajaj Allianz fintech meets insurance when crisis strikes LucepTeam bhavishsood unassertive Karunk vishalgondal ,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 phone pe bhi baat hosakti hai common sense,NOT RELATED,NOT RELATED,,1,NOT RELATED
 A Safe Way To Withdraw A Safer Way To Stay Healthy Use PhonePe ATM at Your Nearest Stores PhonePe_ NPCI_NPCI UPI_NPCI PMOIndia Contactless contactlesstransactions Covid_19 lockdowneffect StayHomeStaySafe,CONVENIENCE,CONVENIENCE,Help Covid-19,0,HELP-COVID19
 PhonePeSupport PhonePe_ Hi can you provide T C for the newest launch of COVID-19 health policy for Rs156 Tried to find on site there no where to be found Pls market this product with T C handy available at the hand of customers then only the interest will be gained,REQUEST,REQUEST,Request,1,REQUEST
 In the wake of covid outbreak your donation to this fund will support immediate and long-term relief and recovery in vulnerable communities If you donate on PhonePe they will add Rs more even if you donate just Re Click to donate,DONATION,DONATION,Donation,1,DONATION
 Random people bulk emailing now for personal benifits in the name of Covid-19 MahaCyber1 PhonePe_,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 I signing up for this Thanks amitTwitr big fan of what PhonePe_ have been working on recently in the insurance space travel and Covid-19 product in the past months ,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 DasShaktikanta Sir just saw u rinterview on TV stating people should use digital mode of payment but what refund to customers Since almost days following up with IRCTCofficial AxisBank PhonePe_ regarding my refund of cancelled ticket due to COVID19 but no response refund,COMPLAINT,COMPLAINT,Question,0,COMPLAINT
 Learn from industry leaders on how they are responding to the challenges posed by the ongoing pandemic Join our live video Q A on April at PM IST hosted by MEDICI And IAMAI and hear from the founders of PhonePe and INDwealth fintech covid19,PUBLICITY,PUBLICITY,Help Covid-19,0,PUBLICITY
 Great Request to please share more details as I am submitting my idea for Covid19 Hackathon of GOI It a good startup Idea to proceed on,REQUEST,REQUEST,Request,1,REQUEST
 In the view of COVID-19 Pandemic Me my team decided2serve food for at least on daily basis Please raise our hands to deprive for Hunger Ph Gpay Paytm PhonePe AAAAThanks for yourcontribution My Akash Mr  Sagar Mr  Balu,REQUEST,REQUEST,Request,1,REQUEST
 Hi Rakshit our policy covers hospitalization expenses up to Rs for treatment at private hospitals Check your nearest private hospital offering COVID-19 treatment Stay safe AAASV,QUERY ANSWER,QUERY ANSWER,Query Reply,1,QUERY ANSWER
 Sir please mai bhut greeb hu mere Papa ji bhut bimar hai covid-19 ke chalte mai koi kam nhi kar paya na khane ke liye kuch hai please help me sir kuchh rupay mujh greeb ko dijiye phone pe G pay help me aap to gareebo ka Bhagwan hai please,REQUEST,REQUEST,Help Covid-19,0,REQUEST
 Maine aisi hi kiya tha meri bitiya raani ke saath uski bachpan me Aabhi to pati saath Bengaluru me hai Mujhe phone pe boli papa covid19 mujhe sabji kaatna aur khana paakaana shikha diya Aankh me paani aa gaya Bitiya to haamaare hritpind ke upar baithi rahati hai ,NOT RELATED,NOT RELATED,Help Covid-19,0,NOT RELATED
 DEAR PhonePe_ PhonePeSupport HAVE YOU ANY CONTRACT WITH RAZORPAY Razorpay Today I RCVD a call from RAZORPAY side and Notification also Under COVID19 Relief Scheme What do you have to say about it rahulchari9,COMPLAINT,COMPLAINT,Request,0,COMPLAINT
 PhonePe announced an insurance policy Corona Care in collaboration with Bajaj Allianz General Insurance for those who have been infected hospitalised for covid-19 treatment Priced at Rs policy will provide,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Donate phone pe link HELP INDIA FIGHT AGAINST COVID Phone pe Has launched a campaign aiming crore contributed to pm care funds phone pe start I4INDIA MOVEMENT come In India join this movement contributed amount pmcare fund from phone pe,DONATION,DONATION,Donation,1,DONATION
 Rajkuma06533067 PMCaresFunds KamleshSujera Vikas11p PhonePe_ i4IndiaMovement dhanesh32403033 Fight Against Covid-19,DONATION,DONATION,Donation,1,DONATION
 RationDistribution Gamaria Jamshedpur Jharkhand by our team members DtPriyaMahato NehaKumari They have identified such needy families lost their dailyEarnings Jobless as LockDown going on to fightAgainst COVID19 Donate us PhonePe or GooglePay,DONATION,DONATION,Help Covid-19,0,DONATION
 BabuYoyoBB Our policy covers Hospitalization expenses up to Rs for treatment at private hospitals We urge our customers to check their nearest private hospital offering COVID-19 treatment AAAPK,QUERY ANSWER,QUERY ANSWER,Query Reply,1,QUERY ANSWER
 BabuYoyoBB Hi The Coronavirus treatment in government hospitals is free of cost With the surge in cases of Covid19 a growing number of private hospitals are now beginning to treat patients for Coronavirus And their count is increasing,QUERY ANSWER,QUERY ANSWER,Query Reply,1,QUERY ANSWER
 PhonePe_ PhonePeSupport I have still not received refund against Transaction id from IRCTCofficial against my cancelled ticket due to Covid_19 As of now AxisBankSupport IRCTCofficial are clueless Having some hope on you Let see if you can help,COMPLAINT,COMPLAINT,Inconvenience,1,COMPLAINT
 A ray of hope and belief can brighten the darkest times India stands firmly with PM Modi in this fight against COVID-19 PMOIndia PhonePe_ Shineprakash44 Animesh49716679 ManjayKumarSi18 RISHABH53784942 PhonePe_,HELP-COVID19,HELP-COVID19,,1,HELP-COVID19
 It time to help our country by donation so make a good citizen and donate for prevent covid-19 Join the i4India movement and donate to PMCARESFund by PhonePe,DONATION,DONATION,Request,0,DONATION
 As a precautionary health measure for our support specialists in light of COVID-19 we adjusting work schedules and operating with a limited team Currently phone support is unavailable,NOT RELATED,NOT RELATED,Help Covid-19,0,HELP-COVID19
 Pls make the Maharashtra cm help fund for covid19 donations available on different upi platforms so that more people can contribute easily CMOMaharashtra AjitPawarSpeaks rajeshtope11 PawarSpeaks dhananjay_munde AUThackeray RRPSpeaks PhonePe_ GooglePayIndia UPI_NPCI,REQUEST,REQUEST,Request,1,REQUEST
 Lets fight against covid-19,REQUEST,REQUEST,Help Covid-19,0,REQUEST
 IndiaAAAs resilient startups have come forward to support and help fight against COVID_19 swiggy_in ZomatoIN bigbasket_com PhonePe_ Paytm oyorooms letsdroom Revv_India amazonIN Olacabs CoronaLockdown CoronavirusOutbreak ,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Covid19 AA DonateNow Scan QR Codes for GPay PhonePe PayTM StayHomeStaySafe,DONATION,DONATION,Donation,1,DONATION
 Thank you Paytm and PhonePe_ for your services They are every useful for me in this lockdown and COVID crisis Go digital  ,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 Tejasvi_Surya lockdown  mobile rechrg hege Apps online phonepe bnk nothing wrks validity today grace days i want mobile rechrg ShekharGupta,COMPLAINT,COMPLAINT,,1,COMPLAINT
 Rs 1 EACH Can we Sameer Nigam of Phonepe asks India for PMCARESFUND and launches the WATCH THE FULL INTERVIEW HERE india covid19 coronavirusindia togetherathome covid19india solidarity servicepublic spreadawareness,DONATION,DONATION,Help Covid-19,0,DONATION
 RECHARGE your JIO number using PHONE PE APP in easy Steps below stay safe connected fight covid-19,CONVENIENCE,CONVENIENCE,Help Covid-19,0,CONVENIENCE
 is not just about making a donation It is about making a difference  We at Phonepe will add Rs 10 - for every donation you make Even a rupee can make a difference Lets win the war against this pandemic called COVID19 TOGETHER,DONATION,DONATION,Help Covid-19,0,DONATION
 Telemedicine covid19 coronavirus coronaviruspandemic We have defined a completely new way for PatientCare with great Practice Management ePrescription and Telemedicine telemedicine emr patientcare medical healthcare healthtech,NOT RELATED,NOT RELATED,,1,NOT RELATED
 i4india pmcarefunds phonepe covid19,DONATION,DONATION,,1,DONATION
 I want help due to covid I am facing trouble My phone pe number,HELP-COVID19,HELP-COVID19,Request,0,HELP-COVID19
 I want help due to covid I am facing economic problems My phone pe number,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Request you to all Please donate in Pm cares for Covid19 whatever you want to donate i4 India campaign PMCARES SBI Let come together and pray for Stay at home be safe and you can donate through PHONEPE UPI- pmcares sbi campaign i4 India11,REQUEST,REQUEST,Request,1,REQUEST
 airtelindia VodafoneIN PhonePe_ wat n how u manage these portals N y atm not standard across banks Few hv mobile rechrg link n many dont  n upgrade sftware to hv lower denominations at atm withdrawal iba_org_in UnionBankTweets,QUESTION,QUESTION,Donation,0,QUESTION
 I stand for INDIA and I tried little in our fight against Covid-19 Requesting the Same i4India DonateKaroNaIndia PMCaresFunds PhonePe_ KamleshSujera AmolLad13 StayHome StaySafe IndiaFightsCorona,DONATION,DONATION,Help Covid-19,1,DONATION
 Giving is not just about make a Donation It about making a difference So Dear Indians lets donate Donate to fight against Covid by using PhonePe to PMCaresFunds i4IndiaMovement Phonepe KamleshSujera PhonePe_,DONATION,DONATION,Donation,1,DONATION
 Request Donate contribute to PMCaresFund by PhonePe for covid19,DONATION,DONATION,Donation,1,DONATION
 i4India support phone pe fight with covid-19 AAA,DONATION,DONATION,,1,DONATION
 i4IndiaMovement support phone pe fight with covid-19 AAA,DONATION,DONATION,,1,DONATION
 Lets donate via phonepe i4India And help the nation to fight against this Covid-19 Note Dear Fellows No Donation is small So if you want to Donate or then donate Our efforts donations will change millions of lives i4IndiaMovement PhonePe100CrorePledge,DONATION,DONATION,Donation,1,DONATION
 Pls make the delhi cm relief fund for covid19 donations available on different upi platforms ArvindKejriwal AAPDelhi Paytm GooglePay PhonePe_ UPI_NPCI upichalega narendramodi so that more people can contribute easily IndiaBattlesCoronavirus PMCaresFunds raghav_chadha,REQUEST,REQUEST,Request,1,REQUEST
 lets make a pledge to Fight against Covid-19 and help the nation by donating to i4India PhonePe100CrorePledge UPI,HELP-COVID19,HELP-COVID19,Request,0,DONATION
 currentaffairs UPSC SSC CoronaWatch PhonePe  Covid_19 WorldBank,NULL,NULL,,1,NULL
 It time to fight against covid and Phone Pe company extremely and fabulous decision for covid fights please pay only rupees and how you do Phone pe will add again FightAgainstCoronavirus,DONATION,DONATION,Help Covid-19,0,DONATION
 I have joined the i4India movement You also donate to PMCares fund and help your country fight against covid-19 To donate click here,DONATION,DONATION,Donation,1,DONATION
 It time fight against covid I appreciate and salute Phone pe for extremely and fabulous decision for covid fight please pay only rupees for PM Care Phone pe add AAA,HELP-COVID19,APPRECIATION,Appreciation,1,APPRECIATION
 I have joined the i4India movement by donating to PM Cares Fund Please come forward to help in whatever way u can If you donate on PhonePe they will add Rs more Click to donate PMCaresFunds i4India Covid_19,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ I have joined too in i4India raising this needed fund to fight covid-19 by contributing through my fav app phonepe as they also contribute on each contribution Click to donate,DONATION,DONATION,Help Covid-19,0,DONATION
 I stand for for India and i will do my bit in our against covid pmcarefunds phonepe AAA,DONATION,DONATION,Help Covid-19,0,DONATION
 abhi_mandevian azahar0141 Abhishe71620765 PhonePe_ PMOIndia Vikas11p I have joined the i4India movement You also donate to PMCares fund and help your country fight against covid-19 To donate click he,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ I have joined the i4India movement You also donate to PMCares fund and help your country fight against covid-19 To donate click here,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ I was just checking out how to buy gold but it gets purchased and I do n t want my finger touched the screen and it get purchased I called you on your number but due to Covid-19 no agents are available Please reverse the transaction PhonePeSupport,REQUEST,REQUEST,Request,1,REQUEST
 abhi_mandevian azahar0141 Abhishe71620765 PhonePe_ PMOIndia Vikas11p1 I have joined the i4India movement You also donate to PMCares fund and help your country fight against covid-19 To donate click here ,DONATION,DONATION,Donation,1,DONATION
 PMOIndia abhi_mandevian azahar0141 Abhishe71620765 PhonePe_ PMOIndia Vikas11p I have joined the i4India movement You also donate to PMCares fund and help your country fight against covid-19 To donate click here ,DONATION,DONATION,Donation,1,DONATION
 In regard to the policy we afraid self-quarantine or quarantine in a hospital in case of diagnosis of COVID-19 is not a part of the insurance claim The insurance provides coverage of up to AAA for treatment of COVID-19 at any hospital,INFORMATION,INFORMATION,Help Covid-19,0,INFORMATION
 i4india SRKOfficeForQuarantine COVID2019 IndiaFightsCorona COVID19,DONATION,DONATION,,1,DONATION
 PhonePe_ i4India Covid_19 Contribute to PMCares fund Support i4India,DONATION,DONATION,,1,DONATION
 Small drops make an ocean If we will add our efforts we can turn this donation drive into a huge movement to bring relief to all INDIANS affected by COVID19 Donate PMCARES FUND i4india PhonePe To donate   click here,DONATION,DONATION,Help Covid-19,0,DONATION
 WE STAND FOR NATION LET US ALL JOIN TOGETHER GET OUR NATION OUT COVID19 STARVING OUR SMALL CONTRIBUTION MAKE BIG DIFFERENCE I4INDIA JayMathe7 DeepakN61332904 AnirudhFMS PhonePe_,DONATION,DONATION,,1,DONATION
 Hi all We know that our country is going through a difficult time fighting against covid19 Let make a donation towards PMCaresfund through PhonePe and PhonePe will add another Rs to PMCaresfund Let support our country and i4India campaign Jai Hind ,DONATION,DONATION,Donation,1,DONATION
 PhonePe launches initiative to fight against COVID-19 The online payment app PhonePe has launched a national movement called i4India to fight the COVID-19 pandemic in India phonepe covid19fight i4india AAA,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
  Top Trending Hashtags on Twitter in the  India i4India is back in Top Trending IndiaFightsCorona  COVID2019 COVID19 i4India via tweeplers Vikas11p PhonePe_ lohcheb,APPRECIATION,NULL,,0,NULL
 Hi Friends Contribute to PMCares fund For covid-19 Support i4India Donate Via pmcaresfund i4india donatekaroindia makethischainbigger Kamal74991982 Vikas11p PMOIndia,DONATION,DONATION,Request,0,DONATION
 An initiative by honorable prime minister of india narendramodi to draw funds for fight against covid-19 It time to stand for India Join the i4India PMCaresfund phonepe Let start the donation for needy people,DONATION,DONATION,Help Covid-19,0,DONATION
 Donate Karo india PhonePe i4India Covid_19 AAA,DONATION,DONATION,Donation,1,DONATION
 It time to show   Let Join i4INDIA Campaign to fight against Covid-19 Good initiate by PhonepeAAAA,DONATION,DONATION,Request,0,DONATION
 I have done my part and I request you to do so PhonePe_ PMCares i4India DonateKaroNaIndia PMCaresFunds covid19,REQUEST,REQUEST,Donation,0,REQUEST
 PhonePe_ PMCaresFunds i4India Covid_19 plz support our nation,REQUEST,REQUEST,Donation,0,REQUEST
 It is time for everyone to be there for each other as the entire country is under lockdown fighting an unprecedented pandemic of COVID19 PhonePe doing great Noble cause to fight against COVID2019 i urge you to contribute whatever u can ,HELP-COVID19,HELP-COVID19,Request,1,HELP-COVID19
 Let stand for our nation Let donate i4India PMCaresFunds Covid_19 PhonePe_,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ Why dubious policy for Covid-19 insurance You say you will cover private hospital expenses on first page while you deny it in policy details Is n t it shameful at this point of time I hope people do n t fall for it,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 PhonePe_ i4India Covid Contribute to PMCaresFunds fund Support i4India Let stand for our national let donate Jai Hind Jai Bharat Safe India ,DONATION,DONATION,Help Covid-19,1,DONATION
 It is time for everyone to be there for each other as the entire country is under lockdown fighting an unprecedented pandemic of COVID19 PhonePe doing great Noble cause to fight against COVID2019 i urge you to contribute whatever u can PhonePe_ AAA,HELP-COVID19,HELP-COVID19,Request,1,HELP-COVID19
 Let stand for our national let donate india PMCaresFunds covid_19 phone pe,DONATION,DONATION,Donation,1,DONATION
 I4india You can contribute min Rs1 - to max Phonepe will add Rs10 - for every contribution PMCARESFund PhonePe Everyone contribution is most important to overcome covid-19 pandemic PMOIndia PhonePe_,DONATION,DONATION,Help Covid-19,1,DONATION
 Covid19 I4India Fightforindia DonateKaroNaIndia  Donate  Donate  Ajay Slathia,DONATION,DONATION,Donation,1,DONATION
 Please join With us I4India Movement lets do our contribution to our Nation Against Covid-19 AAAAAAAA Phonepe PMCaresFund AAA,REQUEST,REQUEST,Donation,1,REQUEST
 PhonePe_ i4India Covid_19 Let stand for our nation plz donate i4India,DONATION,DONATION,,0,DONATION
 PhonePe_ i4India Covid_19 Contribute to PMCares fund Support i4India AAA,DONATION,DONATION,Donation,1,DONATION
 Phonepe launches I4india movement to fight covid-19,DONATION,DONATION,,0,DONATION
 Its good to see how indians are responding to there responsibilities towards nation and supporting government PhonePe_ against war from covid19 All indians united will surely win so plss donate atleat Rs1 so that PhonePe_ can add10 to it and hepls INDIA to recover i4India AAA,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 Great work PhonePe_ i4India Covid_19 AAA,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 PhonePe_ i4india Covid_19 Contribute to PMCares fund Support i4India,DONATION,DONATION,,0,DONATION
 Time To Be Together Whole PeopleAAAs Agents COVID-19 To Corona Free World LetAAAs Donate i4India phonepe donatekaroindia,DONATION,DONATION,Help Covid-19,1,DONATION
 MoHFW_INDIA MEAIndia DrSJaishankar how can ppl call to update f returnees dets or get updated for self  without inet Try n DoT_India trai PhonePe_ UnionBank AP corp with union bnk ATM do not hv mobile rechrg link  bnkg portals no mobile prepd category NOT WRKNG,COMPLAINT,COMPLAINT,Inconvenience,1,COMPLAINT
 PhonePe_ BeingSalmanKhan imVkohli jazzyb diljitdosanjh karanjohar jackline_lydia Let take the pledge together your small amount will give a huge difference covid_19 Fight together donate to the PMCaresFunds,HELP-COVID19,HELP-COVID19,Donation,1,HELP-COVID19
 It time to support our country so please donate on PMCaresFunds using PhonePe because this time to do something for our country narendramodi BeingSalmanKhan UPI_NPCI sachin_rt anuragkanwar5 Vikas11p abhishe716207565 covid19,DONATION,DONATION,Donation,1,DONATION
 Let Beat covid19 together Kamal74991982 pppankaj_kumar Avinash00423037 PhonePe_ i4india PMCaresFunds ,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Donate in PM fund and fight against covid and also share this video as much as you can i4india PhonePe_,DONATION,DONATION,Donation,1,DONATION
 Phone pe support is unavailable due to COVID,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 PhonePe Phonepesupport i4India Covid_19 Contribute PMcares Fund and support i4india Being a human I have contributed now its your turn Donate using phonepe app,DONATION,DONATION,Help Covid-19,1,DONATION
 I support i4India Covid_19,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Join hands with phonepe to fight this war against covid19 support i4Indian movements nd stand for your country Contribute as much as possible to the pmcare fund,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Donate to the PMCARES fund It time to stand for India and make your contribution to donate in pmcares fund via phonepe to fight with covid,DONATION,DONATION,Donation,1,DONATION
 It is time for everyone to be there for each other as the entire country is under lockdown fighting an unprecedented pandemic of COVID19 PhonePe doing great Noble cause to fight against COVID2019 i urge you to contribute whatever u can PhonePe_ PMOIndia,APPRECIATION,APPRECIATION,Request,0,APPRECIATION
 Join i4India movement and be there for our country donate PMCaresFunds comon India contribute our RS helps to fight against covid19 pmoindia sameernigam,HELP-COVID19,HELP-COVID19,Donation,1,HELP-COVID19
 Please raise our hands to support for poor people COVID-19 AND PLEASEAAAA AAAAAAAAAAAA DONATE ATLEAST RUPEES And Above   BY PHONEPE,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 Plese help and donate to India in order to ensure security for ur indespensable family members Help india in combating this serious menace of this time COVID-19,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 PhonePe_ airtelindia nothing works UnionBank atm has no mobile recharge link great inconv  info tech of the world crazy,COMPLAINT,COMPLAINT,Inconvenience,1,COMPLAINT
